iter	Accuracy	Logloss
0	0.8121066826	0.5790801643
1	0.8121066826	0.5317764241
2	0.8121066826	0.5001066767
3	0.8120067925	0.4607733009
4	0.8121066826	0.4444519771
5	0.8148037159	0.4346141891
6	0.8155029468	0.4297099073
7	0.8177005294	0.4220394497
8	0.8185995405	0.4177551688
9	0.8190989911	0.413914407
10	0.8208970133	0.4111081414
11	0.8209969034	0.4079576637
12	0.8211966836	0.4062482608
13	0.8216961343	0.4044709038
14	0.8218959145	0.4035977046
15	0.8220956947	0.4023986617
16	0.8232943762	0.4010820846
17	0.8232943762	0.4004895652
18	0.8232943762	0.3993141976
19	0.8238937169	0.3986660165
20	0.8245929478	0.397304874
21	0.8251922885	0.3966755571
22	0.824792728	0.3954089017
23	0.8250923984	0.3938388946
24	0.8265907502	0.3924435013
25	0.827289981	0.3913400678
26	0.8268904205	0.3907994261
27	0.8276895415	0.3900534573
28	0.8281889921	0.3881188817
29	0.8284886625	0.3863571718
30	0.828888223	0.385199535
31	0.828888223	0.3845514704
32	0.8291878933	0.3838590154
33	0.8295874538	0.3832823629
34	0.8301867945	0.381895966
35	0.8302866846	0.3813231355
36	0.8308860254	0.379526543
37	0.8308860254	0.3788858869
38	0.8322844871	0.3770643497
39	0.83468185	0.3750117724
40	0.8367795425	0.3722862196
41	0.8373788832	0.3718068064
42	0.8377784437	0.3708596113
43	0.8382778943	0.3697192424
44	0.8391769054	0.3690309069
45	0.8394765758	0.3667711963
46	0.8401758066	0.3654534797
47	0.8422734992	0.3626873997
48	0.8430726201	0.3619137647
49	0.8433722905	0.3597116052
50	0.843771851	0.3585129349
51	0.8447707522	0.3558997042
52	0.846269104	0.3544532655
53	0.8465687743	0.3539916114
54	0.8474677854	0.3519587071
55	0.8474677854	0.3511356149
56	0.8474677854	0.3497884129
57	0.8478673459	0.3492648797
58	0.8483667965	0.3474658092
59	0.8499650385	0.3458983165
60	0.8499650385	0.3458571186
61	0.8513635001	0.3445858163
62	0.8531615223	0.3424890511
63	0.8547597643	0.3405718036
64	0.8549595445	0.3385070321
65	0.8555588852	0.3365691988
66	0.8558585556	0.3360308362
67	0.8565577864	0.334738656
68	0.8569573469	0.3342005272
69	0.8569573469	0.3336284792
70	0.8576565778	0.330866592
71	0.8584556987	0.3302033907
72	0.8588552592	0.3278412919
73	0.8589551493	0.3273061091
74	0.860353611	0.3250272488
75	0.8610528419	0.3245091558
76	0.8612526221	0.3229534994
