iter	Passed	Remaining
0	10	10527
1	39	19472
2	49	16343
3	60	15078
4	73	14720
5	88	14651
6	101	14432
7	111	13803
8	134	14801
9	166	16450
10	185	16685
11	212	17498
12	236	17928
13	245	17301
14	277	18234
15	285	17582
16	291	16850
17	309	16878
18	322	16626
19	343	16829
20	356	16599
21	377	16783
22	393	16734
23	400	16297
24	415	16190
25	424	15897
26	441	15903
27	461	16034
28	474	15900
29	489	15838
30	521	16299
31	544	16470
32	558	16380
33	574	16317
34	592	16331
35	608	16283
36	658	17134
37	675	17088
38	689	16979
39	717	17214
40	731	17109
41	763	17417
42	824	18340
43	847	18415
44	864	18354
45	896	18587
46	913	18517
47	975	19349
48	995	19326
49	1038	19732
50	1048	19516
51	1065	19426
52	1081	19315
53	1124	19705
54	1173	20166
55	1187	20022
56	1201	19872
57	1213	19708
58	1266	20199
59	1282	20087
60	1311	20190
61	1323	20025
62	1337	19897
63	1365	19963
64	1390	20003
65	1408	19939
66	1421	19800
67	1467	20117
68	1489	20102
69	1506	20018
70	1524	19941
71	1540	19861
72	1593	20232
73	1682	21054
74	1694	20898
75	1766	21481
76	1803	21622
77	1818	21499
78	1843	21494
79	1871	21521
80	1954	22170
81	2009	22493
82	2056	22718
83	2126	23186
84	2164	23295
85	2180	23178
86	2234	23445
87	2349	24353
88	2395	24519
89	2431	24584
90	2517	25144
91	2561	25284
92	2608	25439
93	2641	25461
94	2658	25328
95	2695	25381
96	2715	25276
97	2742	25238
98	2798	25465
99	2819	25371
100	2866	25511
101	2937	25862
102	2969	25864
103	3015	25975
104	3033	25853
105	3046	25694
106	3075	25664
107	3098	25590
108	3113	25447
109	3134	25357
110	3150	25231
111	3180	25219
112	3209	25194
113	3224	25064
114	3238	24926
115	3264	24881
116	3279	24749
117	3293	24616
118	3310	24506
119	3326	24395
120	3343	24289
121	3383	24352
122	3398	24232
123	3416	24134
124	3460	24220
125	3480	24140
126	3718	25559
127	3751	25556
128	3787	25572
129	3821	25577
130	3837	25453
131	3864	25409
132	3888	25349
133	3912	25285
134	3925	25149
135	3938	25022
136	3998	25187
137	4011	25059
138	4050	25091
139	4186	25717
140	4225	25744
141	4271	25811
142	4314	25856
143	4366	25956
144	4392	25900
145	4422	25869
146	4441	25769
147	4467	25718
148	4509	25753
149	4533	25690
150	4558	25628
151	4571	25505
152	4597	25452
153	4623	25401
154	4645	25327
155	4668	25255
156	4679	25125
157	4710	25101
158	4734	25040
159	4745	24914
160	4790	24964
161	4824	24954
162	4854	24925
163	4915	25056
164	4965	25129
165	5052	25386
166	5078	25330
167	5131	25414
168	5179	25470
169	5274	25753
170	5337	25874
171	5367	25840
172	5390	25767
173	5467	25954
174	5505	25955
175	5534	25910
176	5553	25820
177	5588	25805
178	5601	25693
179	5656	25769
180	5669	25655
181	5710	25667
182	5746	25653
183	5768	25579
184	5784	25482
185	5811	25433
186	5830	25347
187	5848	25259
188	6138	26339
189	6158	26255
190	6175	26157
191	6197	26080
192	6231	26056
193	6257	25996
194	6272	25893
195	6294	25821
196	6320	25762
197	6340	25682
198	6374	25658
199	6389	25556
200	6407	25469
201	6436	25425
202	6455	25343
203	6480	25286
204	6498	25202
205	6516	25118
206	6538	25047
207	6555	24959
208	6579	24902
209	6600	24829
210	6628	24785
211	6690	24868
212	6754	24955
213	6770	24865
214	6794	24808
215	6822	24762
216	6863	24765
217	6949	24928
218	6984	24906
219	7018	24882
220	7054	24866
221	7136	25011
222	7202	25094
223	7236	25068
224	7281	25080
225	7306	25024
226	7322	24936
